molecule_chembl_id,IC50,Units,SmilesValue,standard type,standard relation,document chembl id,assay description,assay type,activity id,pIC50
CHEMBL1201303,30000,nM,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,IC50,=,CHEMBL5370551,Inhibition of PD-1/PD-L1 interaction (unknown origin) by HTRF assay,B,25654222,4.522878745
CHEMBL3582252,79.5,nM,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218163,7.099632871
CHEMBL4062686,80,nM,Cc1c(COc2cc(F)c(CNC[C@@H](O)CC(=O)O)cc2F)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4715910,Inhibition of human PD-1/PDL1 by HTRF assay,B,22855720,7.096910013
CHEMBL4071326,3,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@H](O)C[C@@H]3C(=O)O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL5252557,Inhibition of C-terminal his tagged human PD-1/human Fc tagged PDL-1 interaction expressed in HEK293 cells incubated for 2 hrs AlphaScreen assay,B,25077085,8.522878745
CHEMBL4081869,83.12,nM,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,IC50,=,CHEMBL5154658,Inhibition of Tag2-PD-1/Tag1-PD-L1 (unknown origin) protein-protein interaction incubated for 15 mins by HTRF assay,B,24880796,7.080294465
CHEMBL4084368,2.4,nM,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cccc(C#N)c2)cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C,IC50,=,CHEMBL4715910,Inhibition of human PD-1/PDL1 by HTRF assay,B,22855718,8.619788758
CHEMBL4089730,96,nM,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884511,7.017728767
CHEMBL4092122,0.92,nM,Cc1c(CO)cccc1-c1ccccc1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884521,9.036212173
CHEMBL4093799,28000,nM,NC(=O)c1ccccc1NC(=O)c1ccc(-c2ccccc2)cc1,IC50,=,CHEMBL5370551,Inhibition of PD-1/PD-L1 interaction (unknown origin) by HTRF assay,B,25654223,4.552841969
CHEMBL4099869,7200,nM,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,IC50,=,CHEMBL5223128,Inhibition of human PD-1/PDL1 protein-protein interaction by luminescence proximity homogeneous assay,B,24977627,5.142667504
CHEMBL4436703,2.2,nM,CCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884513,8.657577319
CHEMBL4439532,834,nM,Cc1c(NC(=O)c2cc(CNCCS(N)(=O)=O)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218172,6.078833949
CHEMBL4441950,0.92,nM,Cc1c(CO)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884522,9.036212173
CHEMBL4442851,374.6,nM,Cc1c(NC(=O)c2cc(CN(C)CC(O)CO)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218173,6.426432227
CHEMBL444633,25000,nM,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,IC50,=,CHEMBL5370551,Inhibition of biotinylated human PD-I /His-tagged PD-L1 (unknown origin) interaction incubated for 90 mins in dark condition by AlphaLISA assay,B,25654218,4.602059991
CHEMBL4447172,983.4,nM,CS(=O)(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218153,6.007269796
CHEMBL4450074,2945,nM,Cc1c(NC(=O)c2cc(CNCC(N)=O)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218175,5.530914701
CHEMBL4452790,238.3,nM,Cc1c(NC(=O)c2cc(CN(C)CCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218161,6.622875958
CHEMBL4453487,1172,nM,CC(=O)NCCNCc1ccc(OCc2ccc3cc(COc4ccc(CNCCNC(C)=O)c(OCc5cncc(C#N)c5)c4)ccc3c2)cc1OCc1cncc(C#N)c1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884520,5.931072388
CHEMBL4455608,367,nM,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218154,6.435333936
CHEMBL4457544,486.2,nM,CN(Cc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1)CC(O)CO,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218155,6.313185045
