RDKit Mol,pIC50,Prediction (pIC50),Prediction (pIC50) (Prediction Variance)
COc1ccc(Nc2nnc(-c3ccc([N+](=O)[O-])cc3)o2)cc1,4.193074223,6.398902803,1.814764789
Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)N3CCNCC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,6.93930216,7.189219368,0.297324982
Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCN)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,7.769551079,7.503626804,0.38484427
Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)N3CCNCC3)cc2Cl)cccc1-c1ccccc1,7.045757491,7.179508351,0.646630098
Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCN)cc2Cl)cccc1-c1ccccc1,8.040958608,6.985556297,1.260258663
Cc1c(COc2ccc3nc(CN)c(NCc4ccccc4)n3c2)cccc1-c1ccccc1,4.993448391,5.400966118,0.871398344
Cc1c(COc2ccc3nc(CN)c(NC(C)c4ccccc4)n3c2)cccc1-c1ccccc1,5.029932203,5.493469058,0.965248502
Cc1c(COc2ccc3nc(CN)c(NCCc4ccccc4)n3c2)cccc1-c1ccccc1,4.774819992,5.410843688,1.132102249
Cc1cc2nc(CN)c(NCc3ccccc3)n2cc1OCc1cccc(-c2ccc3c(c2)OCCO3)c1C,5.736600669,6.109887425,2.115313007
Cc1c(COc2ccc3nc(CN)c(NCc4ccccc4)n3c2)cccc1-c1ccc2c(c1)OCCO2,4.639255159,5.581315197,1.590506274
CC(O)C(NC(=O)NC(CC(N)=O)c1nc(C(N)CO)no1)C(=O)O,2.301029996,7.097312729,1.508529769
Cc1ccccc1-c1cccc(COc2ccc(CNC(CO)(CO)CO)c(OCc3nnc(-c4ccccc4)o3)c2)c1C,6.823908741,6.789946364,1.260326774
Cc1c(COc2ccc(CNC(CO)(CO)CO)c(OCc3nc(-c4ccc(F)cc4)cs3)c2)cccc1-c1cccc(OCCCN2CCC(CO)CC2)c1,6.400116928,7.202634163,2.24384011
Cc1c(COc2ccc(CNC(CO)(CO)CO)c(OCc3nc(-c4ccc(F)cc4)cs3)c2)cccc1-c1cccc(OCCCN2CCC(O)CC2)c1C,6.777283529,7.185641966,2.427601717
Cc1c(COc2ccc(CNC(CO)(CO)CO)c(OCc3nnc(-c4ccccc4)o3)c2)cccc1-c1cccc(OCCCN2CCOCC2)c1,6.192464972,6.876369945,1.33981878
Cc1c(COc2ccc(CNC(CO)(CO)CO)c(OCc3nnc(-c4ccccc4)o3)c2)cccc1-c1cccc(OCCCN2CCC(CO)CC2)c1,7.420216403,6.923433471,1.523356518
C[C@@](CO)(NCc1cc(Cl)c(O[C@H]2CCc3c(-c4cccc5c4CC[C@@H]5Oc4nc(OCc5cncc(S(C)(=O)=O)c5)c(CN[C@@](C)(CO)C(=O)O)cc4Cl)cccc32)nc1OCc1cncc(S(C)(=O)=O)c1)C(=O)O,10.23657201,8.447540636,2.127065527
CS(=O)(=O)c1cncc(COc2nc(O[C@H]3CCc4c(-c5cccc6c5CC[C@@H]6Oc5nc(OCc6cncc(S(C)(=O)=O)c6)c(CN6C[C@@H](O)C[C@H]6C(=O)O)cc5Cl)cccc43)c(Cl)cc2CN2C[C@@H](O)C[C@H]2C(=O)O)c1,10.29242982,8.530724859,2.178239585
OC1CCN(Cc2ccc3c(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)nsc3c2)C1,7.236572006,6.530909003,0.971476938
OC1CCN(Cc2ccc3snc(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)c3c2)C1,6.600326279,6.527650762,0.975670576
